"MCXA26x/A25x/A18x/A17x
LQFP144","MCXA26x/A25x/A18x/A17x
 LQFP144 Pin Name","MCXA26x/A25x/A18x/A17x
WFBGA169","MCXA26x/A25x/A18x/A17x
WFBGA169 Pin Name"," MCXA26x/A25x/A18x/A17x
LQFP100"," MCXA26x/A25x/A18x/A17x 
LQFP100 Pin Name"," MCXA26x/A25x/A18x/A17x
LQFP64"," MCXA26x/A25x/A18x/A17x
LQFP64 Pin Name",I/O Supply,Default,ISP,ANALOG,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7,ALT8,ALT9,ALT10,ALT11,ALT12,VDD_SYS,Pad type,
1,P1_8,B2,P1_8,1,P1_8,2,P1_8,VDD,DIS,,LCD_P6,P1_8,FREQME_CLK_IN0,LPUART1_RXD,LPI2C2_SDA,CT_INP8,CT0_MAT2,FLEXIO0_D16,SmartDMA_PIO4,,LCD_P6,I3C0_SDA,,,WUU0_IN10,HD+I3C,
2,P1_9,B1,P1_9,2,P1_9,3,P1_9,VDD,DIS,,LCD_P7,P1_9,FREQME_CLK_IN1,LPUART1_TXD,LPI2C2_SCL,CT_INP9,CT0_MAT3,FLEXIO0_D17,SmartDMA_PIO5,,LCD_P7,I3C0_SCL,,,,HD,
3,P1_10,C2,P1_10,3,P1_10,4,P1_10,VDD,DIS,,ADC1_A8/LCD_P8,P1_10,,LPUART1_RTS_B,LPI2C2_SDAS,CT2_MAT0,,FLEXIO0_D18,SmartDMA_PIO6,LPUART5_TXD,LCD_P8,,CAN0_TXD,,,SLOW,
4,P1_11,C1,P1_11,4,P1_11,5,P1_11,VDD,DIS,,ADC1_A9/LCD_P9,P1_11,TRIG_OUT2,LPUART1_CTS_B,LPI2C2_SCLS,CT2_MAT1,,FLEXIO0_D19,SmartDMA_PIO7,LPUART5_RXD,LCD_P9,I3C0_PUR,CAN0_RXD,,WUU0_IN11,SLOW,
5,P1_12,D4,P1_12,5,P1_12,6,P1_12,VDD,DIS,,ADC1_A10/LCD_P10,P1_12,,LPI2C1_SDA,LPUART2_RXD,CT2_MAT2,,FLEXIO0_D20,SmartDMA_PIO8,LPUART5_CTS_B,LCD_P10,,CAN1_RXD,,WUU0_IN12,SLOW,
6,P1_13,D1,P1_13,6,P1_13,7,P1_13,VDD,DIS,,ADC1_A11/LCD_P11,P1_13,TRIG_IN3,LPI2C1_SCL,LPUART2_TXD,CT2_MAT3,,FLEXIO0_D21,SmartDMA_PIO9,LPUART5_RTS_B,LCD_P11,,CAN1_TXD,,,SLOW,
7,P1_14,E2,P1_14,7,P1_14,,,VDD,DIS,,ADC1_A12/LCD_P12,P1_14,,LPI2C1_SCLS,LPUART2_RTS_B,,CT3_MAT0,FLEXIO0_D22,SmartDMA_PIO10,,LCD_P12,,,,,SLOW,
8,P1_15,E1,P1_15,8,P1_15,,,VDD,DIS,,ADC1_A13/LCD_P13,P1_15,,LPI2C1_SDAS,LPUART2_CTS_B,,CT3_MAT1,FLEXIO0_D23,SmartDMA_PIO11,,LCD_P13,,,,WUU0_IN13,SLOW,
9,P1_16,D2,P1_16,,,,,VDD,DIS,,ADC1_A14/LCD_P14,P1_16,,,,CT_INP12,,FLEXIO0_D24,SmartDMA_PIO12,LPUART5_RXD,LCD_P14,,CAN1_RXD,,WUU0_IN14,SLOW,
10,P1_17,D3,P1_17,,,,,VDD,DIS,,ADC1_A15/LCD_P15,P1_17,,,,CT_INP13,,FLEXIO0_D25,SmartDMA_PIO13,LPUART5_TXD,LCD_P15,,CAN1_TXD,,,SLOW,
